347.00025	38.499975	-5.4	27
347.49975	45.999975	-5.4	25.65
348.50025	54.999975	-5.4	24.3
348.99975	65.499975	-5.4	22.95
349.5	75	-5.4	21.6
351	86.49975	-5.4	20.25
351	98.49975	-5.4	18.9
351.99975	109.5	-5.4	17.55
352.5	122.49975	-5.4	16.2
352.5	135.99975	-5.4	14.85
354	150	-5.4	13.5
354	163.5	-5.4	12.15
354.50025	179.00025	-5.4	10.8
354.99975	193.5	-5.4	9.45
354.99975	209.00025	-5.4	8.1
355.5	225	-5.4	6.75
356.00025	240.99975	-5.4	5.4
354.99975	255.99975	-5.4	4.05
355.5	272.00025	-5.4	2.7
355.5	288	-5.4	1.35
355.5	303	-5.4	0
355.5	315.99975	-5.4	-1.35
354.50025	330.50025	-5.4	-2.7
354.50025	344.49975	-5.4	-4.05
354	355.5	-5.4	-5.4
354	366.99975	-5.4	-6.75
352.5	378.50025	-5.4	-8.1
353.00025	389.00025	-5.4	-9.45
351.99975	398.00025	-5.4	-10.8
351.50025	408	-5.4	-12.15
350.49975	417	-5.4	-13.5
350.00025	425.00025	-5.4	-14.85
349.5	431.49975	-5.4	-16.2
348.50025	438.99975	-5.4	-17.55
348	444.99975	-5.4	-18.9
348	452.00025	-5.4	-20.25
347.49975	457.5	-5.4	-21.6
347.00025	462.50025	-5.4	-22.95
347.00025	468.50025	-5.4	-24.3
346.5	472.5	-5.4	-25.65
334.5	39	-6.75	27
335.00025	45.999975	-6.75	25.65
335.49975	54.999975	-6.75	24.3
336	65.000025	-6.75	22.95
336	75.50025	-6.75	21.6
336.50025	86.00025	-6.75	20.25
336.50025	97.5	-6.75	18.9
337.5	109.5	-6.75	17.55
337.5	122.00025	-6.75	16.2
338.00025	135	-6.75	14.85
338.49975	149.00025	-6.75	13.5
339	164.49975	-6.75	12.15
339	178.5	-6.75	10.8
339.50025	194.00025	-6.75	9.45
339.50025	210.50025	-6.75	8.1
339.99975	225.99975	-6.75	6.75
339.50025	241.5	-6.75	5.4
339.99975	257.00025	-6.75	4.05
339.50025	273	-6.75	2.7
339.50025	287.49975	-6.75	1.35
339.99975	302.49975	-6.75	0
339.50025	317.00025	-6.75	-1.35
339.50025	330	-6.75	-2.7
339.99975	342.99975	-6.75	-4.05
339.50025	356.00025	-6.75	-5.4
339.50025	368.00025	-6.75	-6.75
338.49975	378.50025	-6.75	-8.1
339	389.00025	-6.75	-9.45
338.49975	398.49975	-6.75	-10.8
338.49975	407.49975	-6.75	-12.15
338.00025	416.49975	-6.75	-13.5
338.00025	423.99975	-6.75	-14.85
337.5	431.00025	-6.75	-16.2
337.5	438	-6.75	-17.55
336.99975	446.00025	-6.75	-18.9
336.99975	451.5	-6.75	-20.25
336.50025	456.99975	-6.75	-21.6
336	463.5	-6.75	-22.95
335.49975	467.49975	-6.75	-24.3
335.49975	472.5	-6.75	-25.65
321.99975	39	-8.1	27
321.99975	46.5	-8.1	25.65
322.5	55.5	-8.1	24.3
322.5	65.000025	-8.1	22.95
323.00025	75	-8.1	21.6
321.99975	86.00025	-8.1	20.25
322.5	97.5	-8.1	18.9
323.00025	110.00025	-8.1	17.55
322.5	123.50025	-8.1	16.2
322.5	136.5	-8.1	14.85
323.00025	150	-8.1	13.5
323.49975	164.49975	-8.1	12.15
323.49975	179.49975	-8.1	10.8
323.49975	195	-8.1	9.45
323.49975	210	-8.1	8.1
324	225.50025	-8.1	6.75
323.49975	242.00025	-8.1	5.4
324.50025	257.49975	-8.1	4.05
324.50025	272.49975	-8.1	2.7
324.50025	287.00025	-8.1	1.35
324.50025	302.49975	-8.1	0
324.50025	315.99975	-8.1	-1.35
324.99975	330.50025	-8.1	-2.7
325.5	344.00025	-8.1	-4.05
324.50025	356.00025	-8.1	-5.4
324.99975	367.5	-8.1	-6.75
324.99975	378	-8.1	-8.1
324.99975	389.00025	-8.1	-9.45
324.50025	399	-8.1	-10.8
324.99975	407.49975	-8.1	-12.15
324.99975	416.49975	-8.1	-13.5
324.99975	425.00025	-8.1	-14.85
325.5	431.00025	-8.1	-16.2
324.99975	438	-8.1	-17.55
325.5	444.99975	-8.1	-18.9
326.00025	451.5	-8.1	-20.25
326.00025	457.5	-8.1	-21.6
326.00025	463.5	-8.1	-22.95
326.00025	468	-8.1	-24.3
326.00025	473.00025	-8.1	-25.65
309.50025	39.500025	-9.45	27
309.50025	47.000025	-9.45	25.65
309.50025	55.5	-9.45	24.3
309	65.499975	-9.45	22.95
309	75.99975	-9.45	21.6
309	86.49975	-9.45	20.25
308.49975	98.00025	-9.45	18.9
309	110.00025	-9.45	17.55
308.49975	123	-9.45	16.2
308.49975	136.5	-9.45	14.85
308.00025	150	-9.45	13.5
308.00025	164.00025	-9.45	12.15
308.00025	179.49975	-9.45	10.8
307.5	195	-9.45	9.45
307.5	210.50025	-9.45	8.1
308.49975	225.50025	-9.45	6.75
308.00025	242.00025	-9.45	5.4
309	256.5	-9.45	4.05
308.49975	272.49975	-9.45	2.7
309	287.49975	-9.45	1.35
309.50025	303	-9.45	0
309.99975	316.5	-9.45	-1.35
309.50025	330	-9.45	-2.7
310.5	342.50025	-9.45	-4.05
310.5	354.99975	-9.45	-5.4
309.99975	366.99975	-9.45	-6.75
311.49975	378	-9.45	-8.1
311.49975	389.00025	-9.45	-9.45
311.49975	398.49975	-9.45	-10.8
312	407.49975	-9.45	-12.15
312.99975	414.99975	-9.45	-13.5
312.99975	423.99975	-9.45	-14.85
313.5	431.49975	-9.45	-16.2
313.5	438.99975	-9.45	-17.55
314.00025	444.99975	-9.45	-18.9
314.49975	451.5	-9.45	-20.25
314.49975	458.00025	-9.45	-21.6
315	462.99975	-9.45	-22.95
315	467.49975	-9.45	-24.3
315	472.5	-9.45	-25.65
297	39.500025	-10.8	27
297	46.5	-10.8	25.65
296.49975	55.5	-10.8	24.3
295.5	65.499975	-10.8	22.95
294.99975	75.50025	-10.8	21.6
294.99975	86.00025	-10.8	20.25
294.99975	98.00025	-10.8	18.9
294	110.00025	-10.8	17.55
294	123.50025	-10.8	16.2
293.00025	137.00025	-10.8	14.85
293.00025	150	-10.8	13.5
293.00025	165	-10.8	12.15
293.00025	179.49975	-10.8	10.8
292.5	194.49975	-10.8	9.45
293.00025	210.50025	-10.8	8.1
293.00025	225.50025	-10.8	6.75
292.5	241.5	-10.8	5.4
293.00025	257.49975	-10.8	4.05
293.49975	272.00025	-10.8	2.7
293.49975	287.00025	-10.8	1.35
294	302.49975	-10.8	0
294.99975	315.99975	-10.8	-1.35
294.99975	330	-10.8	-2.7
296.00025	342.50025	-10.8	-4.05
296.49975	354.99975	-10.8	-5.4
297	366.50025	-10.8	-6.75
297.50025	377.49975	-10.8	-8.1
298.5	387.50025	-10.8	-9.45
298.5	397.5	-10.8	-10.8
299.49975	407.00025	-10.8	-12.15
300.50025	416.00025	-10.8	-13.5
300.99975	423.50025	-10.8	-14.85
301.5	431.00025	-10.8	-16.2
302.00025	438	-10.8	-17.55
302.49975	444.50025	-10.8	-18.9
303	450.99975	-10.8	-20.25
303.99975	456.99975	-10.8	-21.6
304.5	461.49975	-10.8	-22.95
304.5	467.00025	-10.8	-24.3
304.5	473.00025	-10.8	-25.65
285	39.999975	-12.15	27
284.00025	48	-12.15	25.65
283.5	56.499975	-12.15	24.3
282.50025	66	-12.15	22.95
282	77.00025	-12.15	21.6
281.00025	87	-12.15	20.25
280.5	98.49975	-12.15	18.9
279.50025	111	-12.15	17.55
279	123.50025	-12.15	16.2
279.50025	136.5	-12.15	14.85
278.49975	150.50025	-12.15	13.5
277.5	165.50025	-12.15	12.15
278.00025	180.99975	-12.15	10.8
277.5	195	-12.15	9.45
277.5	210.50025	-12.15	8.1
278.00025	226.5	-12.15	6.75
277.5	240.99975	-12.15	5.4
277.5	257.00025	-12.15	4.05
278.00025	272.49975	-12.15	2.7
279	286.5	-12.15	1.35
279	302.00025	-12.15	0
279.99975	316.5	-12.15	-1.35
280.5	330	-12.15	-2.7
281.00025	342.50025	-12.15	-4.05
282	354	-12.15	-5.4
283.5	366.50025	-12.15	-6.75
284.00025	375.99975	-12.15	-8.1
